logA,H_star,x,beta,T0
-25.000000,158491.870259,0.020000,0.132209,400.000000
-23.879295,158491.871328,0.477510,0.050000,400.000000
-25.000000,158491.869863,0.020000,0.135870,400.000000
-24.392416,158491.870966,0.020000,0.120268,400.000000
-15.410951,158491.872281,0.144980,0.050000,399.950004
-21.323889,158491.871441,0.391351,0.050000,400.000000
-23.762989,158491.871057,0.020000,0.149528,400.000000
-24.451591,158491.887814,0.020000,0.118723,397.136361
-24.042038,158491.871076,0.020000,0.133329,400.000000
-23.311888,158491.871185,0.020000,0.232648,400.000000
-25.000000,158491.870671,0.020000,0.065677,400.000000
-20.478659,158491.871370,0.020000,0.900000,400.000000
-23.613620,158491.871047,0.020000,0.123656,400.000000
-23.848998,158491.871017,0.020000,0.133334,400.000000
-25.000000,158491.871004,0.020000,0.050000,400.000000
-23.955272,158491.870995,0.020000,0.119270,400.000000
-23.800606,158491.871019,0.020000,0.123341,400.000000
-24.083141,158491.871030,0.020000,0.132553,400.000000
-25.000000,158491.870861,0.020000,0.103728,400.000000
-23.438059,158491.871051,0.020000,0.050000,400.000000
-24.562015,158491.870952,0.020000,0.116489,400.000000
-24.339847,158491.870905,0.020000,0.109822,400.000000
-23.233636,158491.871195,0.020000,0.224535,400.000000
-23.564811,158491.871064,0.020000,0.165313,400.000000
-23.544750,158491.871073,0.020000,0.160799,400.000000
-20.291934,158491.877580,0.020000,0.900000,400.000000
-24.543915,158491.870914,0.020000,0.096685,400.000000
-23.559745,158491.871102,0.020000,0.182124,400.000000
-25.000000,158491.871068,0.020000,0.096302,400.000000
-23.642150,158491.871057,0.020000,0.165599,400.000000
-25.000000,158491.870839,0.020000,0.097627,400.000000
-24.668034,158491.870695,0.020000,0.100352,400.000000
-19.899228,158491.860484,0.020000,0.413900,400.000000
-24.125817,158491.870863,0.020000,0.156237,400.000000
-24.647354,158491.870855,0.020000,0.101497,400.000000
-25.000000,158491.870095,0.020000,0.135321,400.000000
-23.803857,158491.871032,0.020000,0.148018,400.000000
-25.000000,158491.870835,0.020000,0.058006,400.000000
-22.985183,158491.871143,0.020000,0.200740,400.000000
-25.000000,158491.870895,0.020000,0.094715,400.000000
-25.000000,158491.869950,0.020000,0.144526,400.000000
-24.333583,158491.871002,0.020000,0.119550,400.000000
-20.825877,158491.871478,0.397096,0.050000,400.000000
-25.000000,158491.870585,0.020000,0.076636,400.000000
-24.042035,158491.870985,0.020000,0.141645,400.000000
-23.314652,158491.871116,0.020000,0.202977,400.000000
-22.932417,158491.871165,0.020000,0.216321,400.000000
-25.000000,158491.870818,0.020000,0.090267,400.000000
-25.000000,158491.870457,0.020000,0.126744,400.000000
-23.277214,158491.871099,0.020000,0.198110,400.000000
-21.568978,158491.871271,0.327158,0.462754,400.000000
-23.743188,158491.871040,0.020000,0.145271,400.000000
-23.763174,158491.871060,0.020000,0.166306,400.000000
-23.400551,158491.871155,0.020000,0.198776,400.000000
-24.079932,158491.870996,0.020000,0.139350,400.000000
-23.905007,158491.871014,0.020000,0.152625,400.000000
-23.336984,158491.871090,0.020000,0.195647,400.000000
-24.070225,158491.870976,0.020000,0.121781,400.000000
-23.799001,158491.871057,0.020000,0.149670,400.000000
-25.000000,158491.870890,0.020000,0.109898,400.000000
-24.300225,158491.871040,0.020000,0.117913,400.000000
-25.000000,158491.870396,0.020000,0.122831,400.000000
-25.000000,158491.870840,0.020000,0.099430,400.000000
-24.399724,158491.869428,0.020000,0.078325,400.000000
-25.000000,158491.870181,0.020000,0.134622,400.000000
-23.600517,158491.871055,0.020000,0.161589,400.000000
-25.000000,158491.870209,0.020000,0.139763,400.000000
-25.000000,158491.870643,0.020000,0.119989,400.000000
-24.972761,158491.870840,0.020000,0.089596,400.000000
-23.360102,158491.871374,0.020000,0.282876,400.000000
-25.000000,158491.870351,0.020000,0.127182,400.000000
-23.188890,158491.871096,0.020000,0.205350,400.000000
-24.005418,158491.870988,0.020000,0.121913,400.000000
-20.705137,158491.871504,0.206074,0.359026,400.000000
-23.503345,158491.871107,0.020000,0.181985,400.000000
-23.864515,158491.871025,0.020000,0.159629,400.000000
-23.609583,158491.871058,0.020000,0.174468,400.000000
-23.935549,158491.871007,0.020000,0.133611,400.000000
-20.361133,158491.871399,0.065231,0.900000,400.000000
-23.256328,158491.871195,0.020000,0.229958,400.000000
-23.409940,158491.871081,0.020000,0.188541,400.000000
