t_s,Tf_K
8.74866812,389.44922414
8.85007491,389.44554324
8.95265713,389.44169007
9.05642838,389.43766388
9.16140246,389.43346391
9.26759330,389.42908943
9.37501502,389.42453973
9.48368187,389.41981412
9.59360829,389.41491191
9.70480888,389.40983246
9.81729841,389.40457513
9.93109181,389.39913929
10.04620421,389.39352435
10.16265089,389.38772973
10.28044732,389.38175487
10.39960914,389.37559924
10.52015218,389.36926232
10.64209244,389.36274362
10.76544613,389.35604267
10.89022962,389.34915901
11.01645950,389.34209221
11.14415251,389.33484188
11.27332564,389.32740762
11.40399602,389.31978908
11.53618102,389.31198593
11.66989819,389.30399784
11.80516529,389.29582454
11.94200028,389.28746575
12.08042135,389.27892123
12.22044687,389.27019077
12.36209544,389.26127418
12.50538587,389.25217129
12.65033720,389.24288196
12.79696868,389.23340607
12.94529978,389.22374354
13.09535020,389.21389429
13.24713988,389.20385829
13.40068896,389.19363552
13.55601785,389.18322600
13.71314718,389.17262977
13.87209781,389.16184690
14.03289085,389.15087747
14.19554766,389.13972160
14.36008985,389.12837945
14.52653926,389.11685118
14.69491801,389.10513700
14.86524845,389.09323713
15.03755321,389.08115183
15.21185518,389.06888138
15.38817750,389.05642609
15.56654359,389.04378629
15.74697715,389.03096236
15.92950213,389.01795468
16.11414277,389.00476367
16.30092361,388.99138978
16.48986944,388.97783349
16.68100537,388.96409530
16.87435678,388.95017573
17.06994934,388.93607535
17.26780904,388.92179474
17.46796215,388.90733452
17.67043526,388.89269532
17.87525526,388.87787781
18.08244935,388.86288269
18.29204505,388.84771069
18.50407020,388.83236254
18.71855295,388.81683904
18.93552180,388.80114098
19.15500556,388.78526919
19.37703337,388.76922454
19.60163474,388.75300790
19.82883949,388.73662020
20.05867780,388.72006236
20.29118018,388.70333536
20.52637753,388.68644019
20.76430107,388.66937785
21.00498242,388.65214940
21.24845352,388.63475590
21.49474673,388.61719845
21.74389476,388.59947816
21.99593068,388.58159619
22.25088798,388.56355369
22.50880052,388.54535187
22.76970255,388.52699194
23.03362873,388.50847514
23.30061411,388.48980275
23.57069414,388.47097605
23.84390470,388.45199635
24.12028208,388.43286499
24.39986297,388.41358333
24.68268452,388.39415276
24.96878429,388.37457468
25.25820027,388.35485051
25.55097090,388.33498171
25.84713507,388.31496974
26.14673212,388.29481610
26.44980182,388.27452229
26.75638445,388.25408986
27.06652070,388.23352035
27.38025178,388.21281533
27.69761935,388.19197640
28.01866556,388.17100517
28.34343306,388.14990327
28.67196497,388.12867235
29.00430494,388.10731407
29.34049709,388.08583012
29.68058609,388.06422221
30.02461709,388.04249204
30.37263580,388.02064136
30.72468843,387.99867192
31.08082174,387.97658548
31.44108303,387.95438383
31.80552015,387.93206877
32.17418151,387.90964212
32.54711606,387.88710569
32.92437333,387.86446133
33.30600344,387.84171090
33.69205706,387.81885626
34.08258547,387.79589930
34.47764055,387.77284191
34.87727475,387.74968600
35.28154115,387.72643348
35.69049346,387.70308628
36.10418597,387.67964634
36.52267364,387.65611561
36.94601205,387.63249606
37.37425742,387.60878965
37.80746664,387.58499835
38.24569722,387.56112416
38.68900739,387.53716908
39.13745602,387.51313510
39.59110266,387.48902423
40.05000758,387.46483850
40.51423171,387.44057994
40.98383672,387.41625056
41.45888497,387.39185242
41.93943956,387.36738755
42.42556431,387.34285800
42.91732378,387.31826582
43.41478330,387.29361308
43.91800893,387.26890183
44.42706750,387.24413413
44.94202662,387.21931206
45.46295470,387.19443769
45.98992091,387.16951308
46.52299524,387.14454032
47.06224850,387.11952148
47.60775230,387.09445864
48.15957910,387.06935387
48.71780219,387.04420926
49.28249570,387.01902688
49.85373464,386.99380882
50.43159487,386.96855716
51.01615315,386.94327396
51.60748710,386.91796130
52.20567528,386.89262127
52.81079712,386.86725593
