t_s,Tf_K
9.20373200,383.45658570
9.33189772,383.43495000
9.46184819,383.41324541
9.59360829,383.39147187
9.72720319,383.36962929
9.86265846,383.34771759
10.00000000,383.32573668
10.13925408,383.30368651
10.28044732,383.28156698
10.42360674,383.25937803
10.56875971,383.23711958
10.71593400,383.21479156
10.86515775,383.19239390
11.01645950,383.16992652
11.16986818,383.14738936
11.32541315,383.12478235
11.48312415,383.10210542
11.64303133,383.07935850
11.80516529,383.05654154
11.96955702,383.03365447
12.13623798,383.01069722
12.30524004,382.98766974
12.47659553,382.96457196
12.65033720,382.94140383
12.82649831,382.91816529
13.00511252,382.89485629
13.18621401,382.87147676
13.36983742,382.84802666
13.55601785,382.82450593
13.74479093,382.80091452
13.93619274,382.77725239
14.13025991,382.75351949
14.32702953,382.72971577
14.52653926,382.70584118
14.72882724,382.68189569
14.93393216,382.65787924
15.14189325,382.63379181
15.35275029,382.60963335
15.56654359,382.58540382
15.78331406,382.56110320
16.00310314,382.53673144
16.22595287,382.51228851
16.45190588,382.48777440
16.68100537,382.46318905
16.91329517,382.43853246
17.14881970,382.41380459
17.38762400,382.38900543
17.62975375,382.36413495
17.87525526,382.33919313
18.12417547,382.31417996
18.37656200,382.28909542
18.63246312,382.26393949
18.89192776,382.23871218
19.15500556,382.21341347
19.42174681,382.18804336
19.69220255,382.16260184
19.96642450,382.13708890
20.24446510,382.11150456
20.52637753,382.08584881
20.81221570,382.06012167
21.10203429,382.03432314
21.39588871,382.00845322
21.69383518,381.98251195
21.99593068,381.95649932
22.30223298,381.93041537
22.61280066,381.90426011
22.92769313,381.87803357
23.24697060,381.85173578
23.57069414,381.82536677
23.89892566,381.79892658
24.23172794,381.77241524
24.56916463,381.74583279
24.91130026,381.71917928
25.25820027,381.69245476
25.60993100,381.66565927
25.96655973,381.63879288
26.32815466,381.61185564
26.69478494,381.58484761
27.06652070,381.55776886
27.44343303,381.53061947
27.82559402,381.50339949
28.21307676,381.47610902
28.60595535,381.44874814
29.00430494,381.42131693
29.40820171,381.39381548
29.81772290,381.36624389
30.23294684,381.33860226
30.65395295,381.31089070
31.08082174,381.28310931
31.51363485,381.25525820
31.95247506,381.22733750
32.39742630,381.19934734
32.84857366,381.17128783
33.30600344,381.14315912
33.76980311,381.11496135
34.24006138,381.08669466
34.71686819,381.05835920
35.20031473,381.02995513
35.69049346,381.00148261
36.18749812,380.97294182
36.69142378,380.94433292
37.20236681,380.91565609
37.72042493,380.88691153
38.24569722,380.85809943
38.77828415,380.82921999
39.31828756,380.80027341
39.86581074,380.77125990
40.42095840,380.74217970
40.98383672,380.71303302
41.55455335,380.68382010
42.13321744,380.65454118
42.71993966,380.62519652
43.31483223,380.59578636
43.91800893,380.56631098
44.52958510,380.53677064
45.14967772,380.50716562
45.77840538,380.47749622
46.41588834,380.44776273
47.06224850,380.41796546
47.71760949,380.38810471
48.38209665,380.35818081
49.05583706,380.32819410
49.73895959,380.29814491
50.43159487,380.26803359
51.13387538,380.23786049
51.84593544,380.20762599
52.56791122,380.17733047
53.29994081,380.14697430
54.04216421,380.11655788
54.79472337,380.08608163
55.55776222,380.05554596
56.33142671,380.02495128
57.11586478,379.99429805
57.91122648,379.96358670
58.71766391,379.93281770
59.53533131,379.90199151
60.36438506,379.87110861
61.20498372,379.84016949
62.05728807,379.80917466
62.92146110,379.77812462
63.79766809,379.74701991
64.68607662,379.71586105
65.58685660,379.68464859
66.50018030,379.65338309
67.42622242,379.62206513
68.36516005,379.59069528
69.31717276,379.55927415
70.28244264,379.52780233
71.26115430,379.49628046
72.25349492,379.46470915
73.25965428,379.43308907
74.27982483,379.40142086
75.31420166,379.36970521
76.36298261,379.33794278
77.42636827,379.30613428
78.50456200,379.27428043
79.59777002,379.24238194
80.70620141,379.21043956
81.83006816,379.17845403
82.96958521,379.14642612
84.12497050,379.11435660
85.29644500,379.08224629
86.48423276,379.05009597
87.68856095,379.01790647
88.90965990,378.98567862
