t_s,Tf_K
0.28213077,416.52019863
0.28540098,416.44611408
0.28870909,416.37222755
0.29205555,416.29853351
0.29544080,416.22502657
0.29886529,416.15170152
0.30232947,416.07855328
0.30583380,416.00557695
0.30937876,415.93276776
0.31296480,415.86012108
0.31659241,415.78763242
0.32026207,415.71529740
0.32397426,415.64311178
0.32772948,415.57107145
0.33152823,415.49917240
0.33537102,415.42741073
0.33925834,415.35578267
0.34319072,415.28428452
0.34716868,415.21291271
0.35119275,415.14166376
0.35526347,415.07053428
0.35938137,414.99952097
0.36354700,414.92862062
0.36776091,414.85783011
0.37202367,414.78714640
0.37633584,414.71656654
0.38069799,414.64608764
0.38511070,414.57570688
0.38957456,414.50542155
0.39409016,414.43522898
0.39865811,414.36512657
0.40327900,414.29511180
0.40795345,414.22518220
0.41268208,414.15533538
0.41746553,414.08556899
0.42230442,414.01588077
0.42719940,413.94626848
0.43215111,413.87672997
0.43716022,413.80726312
0.44222740,413.73786588
0.44735331,413.66853624
0.45253863,413.59927225
0.45778405,413.53007199
0.46309028,413.46093362
0.46845801,413.39185531
0.47388796,413.32283530
0.47938085,413.25387187
0.48493741,413.18496334
0.49055837,413.11610806
0.49624449,413.04730445
0.50199651,412.97855094
0.50781521,412.90984601
0.51370135,412.84118819
0.51965572,412.77257602
0.52567911,412.70400810
0.53177232,412.63548305
0.53793615,412.56699954
0.54417143,412.49855627
0.55047898,412.43015195
0.55685964,412.36178534
0.56331427,412.29345525
0.56984371,412.22516048
0.57644883,412.15689989
0.58313051,412.08867237
0.58988964,412.02047681
0.59672712,411.95231216
0.60364385,411.88417738
0.61064075,411.81607146
0.61771876,411.74799342
0.62487881,411.67994230
0.63212185,411.61191717
0.63944884,411.54391712
0.64686077,411.47594128
0.65435860,411.40798877
0.66194335,411.34005877
0.66961601,411.27215046
0.67737760,411.20426305
0.68522916,411.13639577
0.69317173,411.06854786
0.70120636,411.00071862
0.70933412,410.93290732
0.71755609,410.86511327
0.72587337,410.79733583
0.73428704,410.72957433
0.74279825,410.66182815
0.75140811,410.59409668
0.76011776,410.52637932
0.76892837,410.45867551
0.77784111,410.39098469
0.78685715,410.32330632
0.79597770,410.25563988
0.80520397,410.18798487
0.81453718,410.12034079
0.82397857,410.05270719
0.83352940,409.98508359
0.84319093,409.91746957
0.85296445,409.84986469
0.86285126,409.78226855
0.87285266,409.71468076
0.88297000,409.64710092
0.89320460,409.57952869
0.90355783,409.51196371
0.91403107,409.44440563
0.92462571,409.37685414
0.93534315,409.30930893
0.94618482,409.24176970
0.95715215,409.17423617
0.96824661,409.10670806
0.97946967,409.03918511
0.99082281,408.97166709
1.00230755,408.90415376
1.01392541,408.83664489
1.02567793,408.76914029
1.03756668,408.70163974
1.04959323,408.63414307
1.06175918,408.56665010
1.07406615,408.49916066
1.08651577,408.43167461
1.09910970,408.36419180
1.11184960,408.29671210
1.12473718,408.22923540
1.13777413,408.16176158
1.15096220,408.09429054
1.16430313,408.02682220
1.17779870,407.95935647
1.19145070,407.89189329
1.20526094,407.82443260
1.21923125,407.75697434
1.23336350,407.68951849
1.24765955,407.62206500
1.26212131,407.55461385
1.27675070,407.48716504
1.29154967,407.41971855
1.30652016,407.35227440
1.32166418,407.28483260
1.33698374,407.21739317
1.35248087,407.14995614
1.36815763,407.08252156
1.38401610,407.01508946
1.40005838,406.94765991
1.41628662,406.88023298
1.43270295,406.81280872
1.44930957,406.74538723
1.46610868,406.67796860
1.48310251,406.61055291
1.50029332,406.54314027
1.51768339,406.47573080
1.53527503,406.40832461
1.55307057,406.34092183
1.57107239,406.27352258
1.58928287,406.20612702
1.60770442,406.13873529
1.62633950,406.07134753
1.64519059,406.00396393
1.66426018,405.93658463
1.68355080,405.86920983
1.70306503,405.80183969
1.72280545,405.73447441
1.74277468,405.66711418
1.76297538,405.59975921
1.78341022,405.53240969
1.80408193,405.46506586
1.82499324,405.39772792
1.84614695,405.33039610
1.86754584,405.26307063
1.88919278,405.19575176
1.91109062,405.12843973
1.93324229,405.06113479
1.95565072,404.99383719
1.97831888,404.92654719
2.00124980,404.85926507
2.02444651,404.79199110
2.04791210,404.72472556
2.07164968,404.65746873
2.09566240,404.59022090
2.11995346,404.52298237
2.14452608,404.45575344
2.16938352,404.38853441
2.19452909,404.32132559
2.21996612,404.25412731
2.24569800,404.18693988
2.27172813,404.11976363
2.29805999,404.05259890
2.32469706,403.98544601
2.35164288,403.91830532
2.37890104,403.85117716
2.40647515,403.78406189
2.43436887,403.71695986
2.46258592,403.64987144
2.49113003,403.58279699
2.52000499,403.51573688
2.54921465,403.44869149
2.57876289,403.38166119
2.60865362,403.31464637
2.63889081,403.24764741
2.66947849,403.18066472
2.70042072,403.11369868
2.73172160,403.04674970
2.76338529,402.97981818
2.79541600,402.91290453
2.82781798,402.84600916
2.86059554,402.77913250
2.89375302,402.71227496
2.92729484,402.64543698
2.96122544,402.57861897
2.99554933,402.51182139
3.03027108,402.44504465
3.06539530,402.37828921
3.10092664,402.31155550
3.13686982,402.24484399
3.17322963,402.17815512
3.21001090,402.11148935
3.24721849,402.04484713
3.28485737,401.97822894
3.32293252,401.91163525
3.36144900,401.84506651
3.40041193,401.77852321
3.43982649,401.71200583
3.47969790,401.64551485
3.52003147,401.57905075
3.56083255,401.51261402
3.60210656,401.44620515
3.64385898,401.37982465
3.68609536,401.31347300
3.72882131,401.24715071
3.77204249,401.18085829
3.81576466,401.11459624
3.85999362,401.04836507
3.90473524,400.98216531
3.94999546,400.91599746
3.99578030,400.84986205
4.04209584,400.78375960
4.08894823,400.71769064
4.13634368,400.65165569
4.18428851,400.58565530
4.23278907,400.51969000
4.28185180,400.45376032
4.33148322,400.38786681
4.38168993,400.32201000
4.43247859,400.25619046
4.48385595,400.19040872
4.53582883,400.12466535
4.58840413,400.05896089
4.64158883,399.99329590
4.69539001,399.92767095
4.74981480,399.86208659
4.80487044,399.79654340
4.86056423,399.73104194
4.91690358,399.66558278
4.97389596,399.60016650
5.03154895,399.53479366
5.08987019,399.46946486
5.14886745,399.40418067
5.20854855,399.33894167
5.26892142,399.27374845
5.32999408,399.20860160
5.39177464,399.14350171
5.45427131,399.07844936
5.51749238,399.01344517
5.58144625,398.94848971
5.64614142,398.88358359
5.71158648,398.81872742
5.77779012,398.75392179
5.84476113,398.68916732
5.91250841,398.62446460
5.98104096,398.55981426
6.05036788,398.49521690
6.12049837,398.43067313
6.19144176,398.36618358
6.26320745,398.30174886
6.33580499,398.23736959
6.40924402,398.17304639
6.48353429,398.10877989
6.55868566,398.04457071
6.63470812,397.98041948
6.71161177,397.91632684
6.78940681,397.85229340
6.86810359,397.78831982
6.94771255,397.72440671
7.02824426,397.66055472
7.10970943,397.59676449
7.19211887,397.53303665
7.27548353,397.46937186
7.35981448,397.40577074
7.44512291,397.34223396
7.53142017,397.27876215
7.61871770,397.21535596
7.70702711,397.15201605
7.79636013,397.08874306
7.88672862,397.02553766
7.97814457,396.96240048
8.07062014,396.89933220
8.16416760,396.83633347
8.25879939,396.77340494
8.35452806,396.71054728
8.45136633,396.64776115
8.54932707,396.58504722
8.64842328,396.52240614
8.74866812,396.45983859
8.85007491,396.39734524
8.95265713,396.33492674
9.05642838,396.27258378
9.16140246,396.21031702
9.26759330,396.14812713
9.37501502,396.08601479
9.48368187,396.02398068
9.59360829,395.96202547
9.70480888,395.90014984
9.81729841,395.83835446
9.93109181,395.77664002
10.04620421,395.71500719
10.16265089,395.65345666
10.28044732,395.59198912
10.39960914,395.53060523
10.52015218,395.46930570
10.64209244,395.40809120
10.76544613,395.34696242
10.89022962,395.28592005
11.01645950,395.22496478
11.14415251,395.16409729
11.27332564,395.10331828
11.40399602,395.04262844
11.53618102,394.98202846
11.66989819,394.92151902
11.80516529,394.86110084
11.94200028,394.80077459
12.08042135,394.74054098
12.22044687,394.68040070
12.36209544,394.62035444
12.50538587,394.56040291
12.65033720,394.50054679
12.79696868,394.44078680
12.94529978,394.38112362
13.09535020,394.32155795
13.24713988,394.26209051
13.40068896,394.20272198
13.55601785,394.14345306
13.71314718,394.08428446
13.87209781,394.02521689
14.03289085,393.96625103
14.19554766,393.90738760
14.36008985,393.84862730
14.52653926,393.78997082
14.69491801,393.73141888
14.86524845,393.67297218
15.03755321,393.61463142
15.21185518,393.55639731
15.38817750,393.49827054
15.56654359,393.44025183
15.74697715,393.38234188
15.92950213,393.32454140
16.11414277,393.26685108
16.30092361,393.20927165
16.48986944,393.15180379
16.68100537,393.09444822
16.87435678,393.03720564
17.06994934,392.98007676
17.26780904,392.92306228
17.46796215,392.86616290
17.67043526,392.80937934
17.87525526,392.75271230
18.08244935,392.69616249
18.29204505,392.63973059
18.50407020,392.58341734
18.71855295,392.52722341
18.93552180,392.47114953
19.15500556,392.41519640
19.37703337,392.35936471
19.60163474,392.30365517
19.82883949,392.24806848
20.05867780,392.19260536
20.29118018,392.13726648
20.52637753,392.08205257
20.76430107,392.02696432
21.00498242,391.97200243
21.24845352,391.91716760
21.49474673,391.86246053
21.74389476,391.80788192
21.99593068,391.75343247
22.25088798,391.69911287
22.50880052,391.64492382
22.76970255,391.59086602
23.03362873,391.53694015
23.30061411,391.48314693
23.57069414,391.42948703
23.84390470,391.37596116
24.12028208,391.32257000
24.39986297,391.26931424
24.68268452,391.21619458
24.96878429,391.16321170
25.25820027,391.11036629
25.55097090,391.05765904
25.84713507,391.00509063
26.14673212,390.95266175
26.44980182,390.90037307
26.75638445,390.84822529
27.06652070,390.79621908
27.38025178,390.74435512
27.69761935,390.69263410
28.01866556,390.64105667
28.34343306,390.58962353
28.67196497,390.53833535
29.00430494,390.48719279
29.34049709,390.43619653
29.68058609,390.38534723
30.02461709,390.33464557
30.37263580,390.28409221
30.72468843,390.23368781
31.08082174,390.18343304
31.44108303,390.13332856
31.80552015,390.08337502
32.17418151,390.03357309
32.54711606,389.98392341
32.92437333,389.93442664
33.30600344,389.88508343
33.69205706,389.83589443
34.08258547,389.78686029
34.47764055,389.73798165
34.87727475,389.68925915
35.28154115,389.64069344
35.69049346,389.59228514
36.10418597,389.54403491
36.52267364,389.49594336
36.94601205,389.44801114
37.37425742,389.40023886
37.80746664,389.35262716
38.24569722,389.30517666
38.68900739,389.25788798
39.13745602,389.21076173
39.59110266,389.16379854
40.05000758,389.11699901
40.51423171,389.07036375
40.98383672,389.02389337
41.45888497,388.97758848
41.93943956,388.93144967
42.42556431,388.88547754
42.91732378,388.83967270
43.41478330,388.79403571
43.91800893,388.74856719
44.42706750,388.70326771
44.94202662,388.65813784
45.46295470,388.61317818
45.98992091,388.56838930
46.52299524,388.52377176
47.06224850,388.47932614
47.60775230,388.43505300
48.15957910,388.39095289
48.71780219,388.34702639
49.28249570,388.30327403
49.85373464,388.25969637
50.43159487,388.21629395
51.01615315,388.17306731
51.60748710,388.13001700
52.20567528,388.08714354
52.81079712,388.04444747
53.42293300,388.00192930
54.04216421,387.95958956
54.66857300,387.91742876
55.30224256,387.87544742
55.94325706,387.83364604
56.59170163,387.79202513
57.24766240,387.75058518
57.91122648,387.70932669
58.58248200,387.66825014
59.26151812,387.62735601
59.94842503,387.58664480
60.64329395,387.54611696
61.34621718,387.50577298
62.05728807,387.46561330
62.77660106,387.42563840
63.50425169,387.38584872
64.24033659,387.34624471
64.98495354,387.30682682
65.73820143,387.26759547
66.50018030,387.22855111
67.27099136,387.18969416
68.05073697,387.15102504
68.83952070,387.11254416
69.63744731,387.07425193
70.44462277,387.03614875
71.26115430,386.99823503
72.08715034,386.96051115
72.92272059,386.92297749
73.76797603,386.88563444
74.62302891,386.84848236
75.48799282,386.81152163
76.36298261,386.77475259
77.24811451,386.73817562
78.14350608,386.70179104
79.04927623,386.66559920
79.96554526,386.62960043
80.89243487,386.59379506
81.83006816,386.55818341
82.77856966,386.52276579
83.73806535,386.48754250
84.70868267,386.45251385
85.69055051,386.41768012
86.68379930,386.38304159
87.68856095,386.34859855
88.70496890,386.31435126
89.73315815,386.28029998
90.77326525,386.24644497
91.82542836,386.21278646
92.88978720,386.17932471
93.96648315,386.14605994
95.05565920,386.11299236
96.15746001,386.08012221
97.27203192,386.04744967
98.39952296,386.01497496
99.54008288,385.98269825
100.69386315,385.95061974
101.86101702,385.91873959
103.04169950,385.88705797
104.23606740,385.85557504
105.44427935,385.82429093
106.66649583,385.79320580
107.90287915,385.76231977
109.15359353,385.73163296
110.41880509,385.70114548
111.69868185,385.67085745
112.99339380,385.64076894
114.30311291,385.61088004
115.62801312,385.58119084
116.96827040,385.55170140
118.32406275,385.52241177
119.69557024,385.49332200
121.08297502,385.46443213
122.48646138,385.43574219
123.90621569,385.40725219
125.34242655,385.37896215
126.79528468,385.35087206
128.26498305,385.32298191
129.75171687,385.29529168
131.25568358,385.26780135
132.77708294,385.24051086
134.31611700,385.21342017
135.87299019,385.18652922
137.44790927,385.15983793
139.04108341,385.13334622
140.65272421,385.10705400
142.28304572,385.08096117
143.93226447,385.05506761
145.60059950,385.02937319
147.28827239,385.00387779
148.99550729,384.97858125
150.72253093,384.95348343
152.46957270,384.92858414
154.23686463,384.90388322
156.02464144,384.87938048
157.83314057,384.85507570
159.66260221,384.83096869
161.51326935,384.80705922
163.38538778,384.78334705
165.27920615,384.75983195
167.19497597,384.73651365
169.13295170,384.71339188
171.09339073,384.69046637
173.07655342,384.66773683
175.08270317,384.64520296
177.11210643,384.62286444
179.16503274,384.60072094
181.24175474,384.57877214
