t_s,exp_50s_Jg,exp_500s_Jg,phenom_50s_Jg,phenom_500s_Jg,tnm_50s_Jg,tnm_500s_Jg
2.616504698748821,1.1486673940702543,3.2636805910728777,0.9091571390809191,3.221023362851724,0.9352273939041919,3.2047120786101795
3.20869999737045,1.2192218542067,3.291958664640057,0.9835557691801566,3.2319400962716376,0.9676602949883654,3.2233477002528694
3.934927263095849,1.3057449535776058,3.3266369339449193,1.0625074237621532,3.245210923733002,1.0048182828093255,3.2447088560792503
4.825522042741279,1.411850885226292,3.369163959667645,1.147981401046867,3.261338689154659,1.047345630026482,3.269170551199564
5.917685748188824,1.4894271091170848,3.387325720340867,1.2388200914847434,3.280869496348332,1.0959601788045683,3.297151709078962
7.2570396123242125,1.5724766497964475,3.401780714254873,1.3365009244016812,3.3044939092480954,1.151457014068284,3.3291177615401932
8.899530352885229,1.674322849838403,3.4195073168312184,1.4404320196594973,3.332951789520408,1.21471055921478,3.3655824461487267
10.913767146512738,1.7541065040318586,3.4406987105906253,1.551365912317764,3.3671375610544896,1.2866743270970837,3.407108385516967
13.383887531737564,1.7825907751407575,3.46584498117895,1.6694902055430558,3.408021895794425,1.368377352384049,3.4543058998475806
16.413071953751285,1.817521910818033,3.4966826243940448,1.7945427188841436,3.4566490692718643,1.4609160989183532,3.507829361203548
20.127853758499384,1.8603590343322451,3.534499772496435,1.9277489107249535,3.514254104708466,1.56544038940041,3.568370240149644
24.683404670686485,1.912891513319628,3.580876101602484,2.0674802502992766,3.581820275097631,1.6831316656014244,3.6366458318252675
30.270016537634614,1.9773137042177686,3.637748817004749,2.216305518676768,3.660897551353144,1.8151716907347049,3.713382496421237
37.12105009066361,2.056316613658103,3.707493572995044,2.3708157009355535,3.7519158871411116,1.9626997059556845,3.799292136836915
45.5226827550731,2.1532003056440865,3.79302370732642,2.535274390418588,3.8568758034330295,2.1267561261835275,3.895040606057418
55.82586268862695,2.3076969988551816,3.9011811072915292,2.7040225127905537,3.974755362096076,2.30821120872572,4.001206848683395
68.46096838574658,2.5305283493289643,4.036874668475224,2.882598036428728,4.107964863663671,2.507677875994197,4.118231913623494
