t_s,dh_50s_Jg,dh_500s_Jg
1167116.1911100682,6.618334924415533,6.618334924415588
1341271.7530678983,6.61833492441558,6.618334924415588
1541414.5817536453,6.618334924415587,6.618334924415588
1771422.4633510853,6.618334924415588,6.618334924415588
2035751.8222611083,6.618334924415588,6.618334924415588
2339524.0647448255,6.618334924415588,6.618334924415588
2688624.806652944,6.618334924415588,6.618334924415588
3089817.9077880196,6.618334924415588,6.618334924415588
3550876.5223261174,6.618334924415588,6.618334924415588
4080733.7044121553,6.618334924415588,6.618334924415588
4689655.486926553,6.618334924415588,6.618334924415588
5389439.7868406065,6.618334924415588,6.618334924415588
6193644.990970618,6.618334924415588,6.618334924415588
7117852.651001326,6.618334924415588,6.618334924415588
8179969.377519484,6.618334924415588,6.618334924415588
9400573.782282984,6.618334924415588,6.618334924415588
10803315.190764666,6.618334924415588,6.618334924415588
12415371.850064106,6.618334924415588,6.618334924415588
14267977.510008572,6.618334924415588,6.618334924415588
16397026.580002053,6.618334924415588,6.618334924415588
18843769.5865931,6.618334924415588,6.618334924415588
21655612.406317543,6.618334924415588,6.618334924415588
24887034.759027854,6.618334924415588,6.618334924415588
28600645.757603914,6.618334924415588,6.618334924415588
32868396.965420544,6.618334924415588,6.618334924415588
37772976.46467455,6.618334924415588,6.618334924415588
43409410.945776604,6.618334924415588,6.618334924415588
49886906.858441174,6.618334924415588,6.618334924415588
57330966.296950325,6.618334924415588,6.618334924415588
65885818.615068145,6.618334924415588,6.618334924415588
75717214.88337399,6.618334924415588,6.618334924415588
87015639.33188906,6.618334924415588,6.618334924415588
100000000.0,6.618334924415588,6.618334924415588
